Timeline,Name,Status,Country,2016 Census of Population,Lat&Long,Province,Tavg,Tmin,Tmax
2021-02-07,Acme,Village,Canada,653,"(51.49533, -113.50819)",Alberta,-35.8,-41.0,-29.0
2021-02-08,Acme,Village,Canada,653,"(51.49533, -113.50819)",Alberta,-32.9,-40.0,-26.0
2021-02-09,Acme,Village,Canada,653,"(51.49533, -113.50819)",Alberta,-30.9,-35.0,-26.0
2021-02-10,Acme,Village,Canada,653,"(51.49533, -113.50819)",Alberta,-30.7,-35.0,-27.0
2021-02-11,Acme,Village,Canada,653,"(51.49533, -113.50819)",Alberta,-30.0,-35.0,-24.0
2021-02-12,Acme,Village,Canada,653,"(51.49533, -113.50819)",Alberta,-21.2,-23.0,-19.0
2021-02-07,Alix,Village,Canada,734,"(52.4004, -113.18862)",Alberta,-28.9,-35.0,-24.0
2021-02-08,Alix,Village,Canada,734,"(52.4004, -113.18862)",Alberta,-30.0,-33.0,-27.0
2021-02-09,Alix,Village,Canada,734,"(52.4004, -113.18862)",Alberta,-30.3,-34.0,-26.0
2021-02-10,Alix,Village,Canada,734,"(52.4004, -113.18862)",Alberta,-30.5,-32.0,-28.0
2021-02-11,Alix,Village,Canada,734,"(52.4004, -113.18862)",Alberta,-29.3,-33.0,-25.0
2021-02-12,Alix,Village,Canada,734,"(52.4004, -113.18862)",Alberta,-22.5,-25.0,-20.0
2021-02-07,Andrew,Village,Canada,425,"(53.87915, -112.33186)",Alberta,-34.4,-40.4,-26.0
2021-02-08,Andrew,Village,Canada,425,"(53.87915, -112.33186)",Alberta,-31.2,-36.9,-26.5
2021-02-09,Andrew,Village,Canada,425,"(53.87915, -112.33186)",Alberta,-28.6,-31.0,-27.0
2021-02-10,Andrew,Village,Canada,425,"(53.87915, -112.33186)",Alberta,-28.3,-30.0,-26.5
2021-02-11,Andrew,Village,Canada,425,"(53.87915, -112.33186)",Alberta,-27.6,-33.0,-23.0
2021-02-12,Andrew,Village,Canada,425,"(53.87915, -112.33186)",Alberta,-21.9,-24.0,-20.5
2021-02-07,Arrowwood,Village,Canada,207,"(50.73719, -113.15045)",Alberta,-28.9,-31.0,-26.0
2021-02-08,Arrowwood,Village,Canada,207,"(50.73719, -113.15045)",Alberta,-29.6,-32.0,-25.0
2021-02-09,Arrowwood,Village,Canada,207,"(50.73719, -113.15045)",Alberta,-29.5,-33.0,-26.0
2021-02-10,Arrowwood,Village,Canada,207,"(50.73719, -113.15045)",Alberta,-29.6,-33.0,-28.0
